year;name;type;category;place;canton;tw_account;tw_url;tw_parse;tw_favorites;tw_followers;tw_friends;tw_statuses;fb_account;fb_url;fb_favorites;fb_followers
2016;Credit Suisse (Schweiz) AG;Bank;Big banks;Zürich;ZH;csschweiz;https://twitter.com/csschweiz;csschweiz;;;;;Credit Suisse;https://www.facebook.com/creditsuisse/;117653;115493
2015;UBS Switzerland AG;Bank;Big banks;Zürich;ZH;UBSschweiz;https://twitter.com/UBSschweiz;UBSschweiz;;;;;ubsschweiz;https://www.facebook.com/ubsschweiz;157458;157743
1834;Berner Kantonalbank AG;Bank;Cantonal banks;Bern;BE;bekbbcbe;https://twitter.com/bekbbcbe;bekbbcbe;;;;;Berner-Kantonalbank;https://de-de.facebook.com/pages/biz/bank/Berner-Kantonalbank/105527996148047;2;0
1850;Luzerner Kantonalbank AG;Bank;Cantonal banks;Luzern;LU;LuzernerKB;https://twitter.com/LuzernerKB;LuzernerKB;;;;;Luzerner Kantonalbank AG;https://www.facebook.com/LuzernerKB/;975;971
1892;Zuger Kantonalbank;Bank;Cantonal banks;Zug;ZG;NA;NA;NA;;;;;Zuger Kantonalbank;https://www.facebook.com/zugerkb/;656;672
1899;Appenzeller Kantonalbank;Bank;Cantonal banks;Appenzell;AI;AppenzellerKB;https://twitter.com/AppenzellerKB;AppenzellerKB;;;;;Appenzeller Kantonalbank;https://www.facebook.com/appkb/;767;770
1899;Basler Kantonalbank;Bank;Cantonal banks;Basel;BS;BaslerKB;https://twitter.com/BaslerKB;BaslerKB;;;;;Basler Kantonalbank;https://www.facebook.com/BaslerKantonalbank/;2167;2192
1879;Nidwaldner Kantonalbank;Bank;Cantonal banks;Stans;NW;NA;NA;NA;;;;;Nidwaldner Kantonalbank;https://www.facebook.com/nkb.ch/;1060;1061
1883;Schaffhauser Kantonalbank;Bank;Cantonal banks;Schaffhausen;SH;NA;NA;NA;;;;;Schaffhauser-Kantonalbank;https://www.facebook.com/pages/Schaffhauser-Kantonalbank/263674860484187;16;0
1871;Thurgauer Kantonalbank;Bank;Cantonal banks;Weinfelden;TG;NA;NA;NA;;;;;Thurgauer Kantonalbank TKB;https://www.facebook.com/tkb/;3951;3899
1870;Zürcher Kantonalbank;Bank;Cantonal banks;Zürich;ZH;zkb_ch;https://twitter.com/zkb_ch;zkb_ch;;;;;Zürcher Kantonalbank;https://www.facebook.com/zkb.ch/;12607;12635
1909;Bank CIC (Schweiz) AG;Bank;Foreign-controlled banks;Basel;BS;Bank_CIC;https://twitter.com/Bank_CIC;Bank_CIC;;;;;Bank-Cic-Basel;https://www.facebook.com/pages/Bank-Cic-Basel/196593770413276;5;0
1848;Bank Linth LLB AG;Bank;Foreign-controlled banks;Uznach;SG;BankLinth;https://twitter.com/BankLinth;BankLinth;;;;;Bank Linth;https://www.facebook.com/banklinth/;1421;1408
2010;Cembra Money Bank AG;Bank;Other banks;Zürich;ZH;CembraMoneyBank;https://twitter.com/CembraMoneyBank;CembraMoneyBank;;;;;Cembra-Money-Bank-AG;https://www.facebook.com/pages/Cembra-Money-Bank-AG/602372279821360;18;0
1958;Migros Bank AG;Bank;Other banks;Zürich;ZH;migrosbank;https://twitter.com/migrosbank;migrosbank;;;;;Migros Bank / Banque Migros / Banca Migros;https://www.facebook.com/migrosbank/;6362;6317
2013;PostFinance AG;Bank;Other banks;Bern;BE;PostFinance;https://twitter.com/PostFinance;PostFinance;;;;;PostFinance;https://www.facebook.com/postfinance/;31056;30497
1927;Bank Cler AG;Bank;Other banks;Basel;BS;bankcler;https://twitter.com/bankcler;bankcler;;;;;Bank Cler;https://www.facebook.com/bankcler/;2691;2734
1902;Raiffeisen-Gruppe exkl. Notenstein Privatbank AG;Bank;Raiffeisen banks;St. Gallen;SG;Raiffeisen_CH;https://twitter.com/Raiffeisen_CH;Raiffeisen_CH;;;;;Raiffeisen Schweiz;https://www.facebook.com/RaiffeisenSchweiz/;36364;36169
1826;AEK BANK 1826 Genossenschaft;Bank;Regional banks and savings banks;Thun;BE;NA;NA;NA;;;;;AEK-Bank-1826;https://www.facebook.com/pages/AEK-Bank-1826/402034229889008;10;0
1852;Bank EKI Genossenschaft;Bank;Regional banks and savings banks;Interlaken;BE;NA;NA;NA;;;;;Bank-EKI;https://www.facebook.com/pages/Bank-EKI/107881919232227;31;0
1836;Bank Leerau Genossenschaft;Bank;Regional banks and savings banks;Kirchleerau;AG;NA;NA;NA;;;;;Bank%20Leerau;https://www.facebook.com/pages/Bank Leerau/104039019633583;8;0
1879;Biene Bank im Rheintal Genossenschaft;Bank;Regional banks and savings banks;Altstätten;SG;NA;NA;NA;;;;;Clientis Biene Bank im Rheintal;https://www.facebook.com/bienebank/;162;163
1889;Clientis Bank Thur Genossenschaft;Bank;Regional banks and savings banks;Ebnat-Kappel;SG;NA;NA;NA;;;;;Clientis Bank Thur;https://www.facebook.com/bankthur/;358;356
1857;GRB Glarner Regionalbank Genossenschaft;Bank;Regional banks and savings banks;Glarus Süd;GL;NA;NA;NA;;;;;GRB-Glarner-Regionalbank;https://www.facebook.com/pages/GRB-Glarner-Regionalbank/112418238772544?nr;1;0
1819;Ersparniskasse Speicher;Bank;Regional banks and savings banks;Speicher;AR;NA;NA;NA;;;;;Ersparniskasse;https://www.facebook.com/pages/Ersparniskasse/703629596371158;0;0
2002;acrevis Bank AG;Bank;Regional banks and savings banks;St. Gallen;SG;acrevis;https://twitter.com/acrevis;acrevis;;;;;acrevis Bank AG;https://www.facebook.com/acrevisBank/;119;123
1868;Alpha RHEINTAL Bank AG;Bank;Regional banks and savings banks;Au SG;SG;NA;NA;NA;;;;;Alpha-Rheintal-Bank-AG;https://www.facebook.com/pages/Alpha-Rheintal-Bank-AG/233171020073519;2;0
1821;Bank EEK AG;Bank;Regional banks and savings banks;Bern;BE;NA;NA;NA;;;;;Bank-Eek-Ag;https://www.facebook.com/pages/Bank-Eek-Ag/280131832019180;2;0
