Year;Name;Type;Category;Place;Canton;Account_TW;Account_FB
2016;Credit Suisse (Schweiz) AG;Bank;Big banks;Zürich;ZH;csschweiz;creditsuisse
2015;UBS Switzerland AG;Bank;Big banks;Zürich;ZH;UBSschweiz;UBSTWINT
1834;Berner Kantonalbank AG;Bank;Cantonal banks;Bern;BE;bekbbcbe;Berner-Kantonalbank/105527996148047
1850;Luzerner Kantonalbank AG;Bank;Cantonal banks;Luzern;LU;LuzernerKB;LuzernerKB
1892;Zuger Kantonalbank;Bank;Cantonal banks;Zug;ZG;NA;zugerkb
1899;Appenzeller Kantonalbank;Bank;Cantonal banks;Appenzell;AI;AppenzellerKB;appkb
1899;Basler Kantonalbank;Bank;Cantonal banks;Basel;BS;BaslerKB;BaslerKantonalbank
1879;Nidwaldner Kantonalbank;Bank;Cantonal banks;Stans;NW;NA;nkb.ch
1883;Schaffhauser Kantonalbank;Bank;Cantonal banks;Schaffhausen;SH;NA;Schaffhauser-Kantonalbank/263674860484187
1871;Thurgauer Kantonalbank;Bank;Cantonal banks;Weinfelden;TG;NA;tkb
1870;Zürcher Kantonalbank;Bank;Cantonal banks;Zürich;ZH;zkb_ch;zkb.ch
1909;Bank CIC (Schweiz) AG;Bank;Foreign-controlled banks;Basel;BS;Bank_CIC;Bank-Cic-Basel/196593770413276
1848;Bank Linth LLB AG;Bank;Foreign-controlled banks;Uznach;SG;BankLinth;banklinth
2010;Cembra Money Bank AG;Bank;Other banks;Zürich;ZH;CembraMoneyBank;Cembra-Money-Bank-AG/602372279821360
1958;Migros Bank AG;Bank;Other banks;Zürich;ZH;migrosbank;migrosbank
2013;PostFinance AG;Bank;Other banks;Bern;BE;PostFinance;postfinance
1927;Bank Cler AG;Bank;Other banks;Basel;BS;bankcler;bankcler
1902;Raiffeisen-Gruppe exkl. Notenstein Privatbank AG;Bank;Raiffeisen banks;St. Gallen;SG;Raiffeisen_CH;RaiffeisenSchweiz
1826;AEK BANK 1826 Genossenschaft;Bank;Regional banks and savings banks;Thun;BE;NA;AEK-Bank-1826/402034229889008
1852;Bank EKI Genossenschaft;Bank;Regional banks and savings banks;Interlaken;BE;NA;Bank-EKI/107881919232227
1836;Bank Leerau Genossenschaft;Bank;Regional banks and savings banks;Kirchleerau;AG;NA;Bank Leerau/104039019633583
1879;Biene Bank im Rheintal Genossenschaft;Bank;Regional banks and savings banks;Altstätten;SG;NA;bienebank
1889;Clientis Bank Thur Genossenschaft;Bank;Regional banks and savings banks;Ebnat-Kappel;SG;NA;bankthur
